Student ID,Last Schl,Last Name,First Name,Gender,Parent/guardian,Primary Phone,Description_HL,Group Memberships?,POD GROUP
727,3,Domleo,Alma,F,Alma Domleo,174-335-4717,Mandarin,"",
05,5,Lasslett,Hervey,M,Hervey Lasslett,693-267-7416,Spanish,"",
69925,3,Byars,Whitman,M,Whitman Byars,990-356-0674,English,"",
724,3,Scardafield,Slade,M,Slade Scardafield,590-689-7930,Spanish,ELD 2,
7,1,Westby,Fritz,M,Fritz Westby,975-548-0648,Spanish,ELD 1,
267,0,Weatherhead,Walton,M,Walton Weatherhead,872-348-4328,Spanish,ELD 1,
60,0,Ivoshin,Ruprecht,M,Ruprecht Ivoshin,667-784-5902,Mandarin,ELD 1,
64307,1,Le Huquet,Khalil,M,Khalil Le Huquet,510-114-1024,Mandarin,ELD 1,
1,1,Caso,Erskine,M,Erskine Caso,942-786-3457,Mandarin,ELD 1,
387,3,Graine,Bernie,M,Bernie Graine,636-446-3161,Mandarin,ELD 1,
882,5,Greenroa,Aileen,F,Aileen Greenroa,959-354-8897,Mandarin,ELD 1,
66,5,Maciunas,Bil,M,Bil Maciunas,445-804-0127,French,ELD 1,
89,0,Drewitt,Nicolai,M,Nicolai Drewitt,366-228-0594,Italian,ELD 1,
767,1,Peeters,Aldrich,M,Aldrich Peeters,381-711-0979,Hungarian,ELD 1,
99,1,Harrop,Claudius,M,Claudius Harrop,452-611-8331,French,ELD 1,
29,5,Burtwistle,Chip,M,Chip Burtwistle,890-467-1747,German,ELD 1,
3,3,Gronav,Paulita,F,Paulita Gronav,594-575-8242,French,,
325,0,Begbie,Dena,F,Dena Begbie,569-174-9943,Mandarin,,
1,5,Abbess,Fan,F,Fan Abbess,468-962-4938,French,,
1,3,Kynton,Jacki,F,Jacki Kynton,565-766-9425,Mandarin,ELD 1,
1207,5,Merali,Delmar,M,Delmar Merali,317-779-0422,Mandarin,,
89,1,Skoof,Jeffrey,M,Jeffrey Skoof,569-582-6001,Spanish,,
5,3,Sunner,Berkley,M,Berkley Sunner,377-693-3378,Spanish,ELD 1,
3166,3,Lakenton,Rik,M,Rik Lakenton,690-921-8901,Spanish,,
73,0,Labbet,Sigfrid,M,Sigfrid Labbet,927-253-5686,Spanish,,
44439,1,Torri,Raynor,M,Raynor Torri,829-432-3309,Spanish,ELD 1,
1046,3,Glacken,Marie,F,Marie Glacken,884-608-6142,Mandarin,ELD 1,
207,5,Pepye,Sherie,F,Sherie Pepye,372-855-0505,Spanish,ELD 1,
48414,3,Szabo,Sigismond,M,Sigismond Szabo,250-142-2537,French,,
7,0,Larrad,Amery,M,Amery Larrad,404-884-0864,Spanish,ELD 1,
39774,3,Fysh,Kimmie,F,Kimmie Fysh,130-906-6068,Mandarin,ELD 1,
0,3,Duffet,Ami,F,Ami Duffet,311-189-1009,French,,
64,1,Thebeau,Archie,M,Archie Thebeau,794-583-4335,Mandarin,,
7,3,Canedo,Fairlie,M,Fairlie Canedo,437-732-3093,Mandarin,,
7,1,Linch,Syd,M,Syd Linch,505-434-2024,Mandarin,,
3909,5,Goodby,Warde,M,Warde Goodby,620-478-3051,French,ELD 1,
3858,0,Antognetti,Hayley,F,Hayley Antognetti,702-795-1559,French,,
35,0,Tunney,Danika,F,Danika Tunney,774-945-3656,Spanish,ELD 1,
21,5,McKeller,Luca,M,Luca McKeller,498-394-2148,Mandarin,,
40,3,Samett,Hannie,F,Hannie Samett,296-796-2201,Spanish,,
74,1,Sackett,Lil,F,Lil Sackett,580-152-4070,Spanish,,
53940,5,Standall,Brett,F,Brett Standall,369-863-9484,Italian,,
780,1,Cordelette,Eben,M,Eben Cordelette,984-891-5656,French,,
035,0,Adame,Duff,M,Duff Adame,618-849-1062,Italian,,
39,3,Pencot,Adelind,F,Adelind Pencot,635-117-0281,Spanish,,
8361,1,Filinkov,Adelheid,F,Adelheid Filinkov,855-942-8530,French,ELD 1,
43,0,Burdon,Eugine,F,Eugine Burdon,229-698-3452,Spanish,,
01,1,Sanger,Maurizio,M,Maurizio Sanger,110-492-3983,French,,
178,1,Gouch,Brandy,M,Brandy Gouch,212-578-8929,Spanish,,
94,5,Kenright,Amy,F,Amy Kenright,825-374-6679,French,,
60,5,Shimuk,Jedediah,M,Jedediah Shimuk,157-699-0430,Spanish,ELD 1,
348,3,Gillion,Simone,F,Simone Gillion,618-269-1710,French,,
93,1,Tree,Norton,M,Norton Tree,272-201-6253,Spanish,ELD 1,
4,0,Bourcq,Etan,M,Etan Bourcq,187-296-4674,Italian,,
2,0,Krol,Cami,F,Cami Krol,805-710-8676,Spanish,,
59,0,Laidlaw,Stephana,F,Stephana Laidlaw,859-143-3000,Spanish,,
8136,0,Chomicki,Jess,M,Jess Chomicki,221-484-8282,Mandarin,,
0,1,Kaas,Janot,F,Janot Kaas,794-737-9214,Italian,,
892,0,Serrurier,Honey,F,Honey Serrurier,291-798-7694,Spanish,,
35866,5,Jahan,Brocky,M,Brocky Jahan,904-680-7942,French,,
1,1,Petrou,Harman,M,Harman Petrou,993-905-8879,Spanish,,
3,1,Lown,Laurie,F,Laurie Lown,856-790-6097,French,ELD 1,
961,0,Koppeck,Fred,M,Fred Koppeck,532-919-2296,Spanish,,
32253,3,Wakefield,Meade,F,Meade Wakefield,566-257-2561,Spanish,,
06,3,Lacotte,Leo,M,Leo Lacotte,769-730-5424,French,,
32553,3,Ianizzi,Leslie,M,Leslie Ianizzi,369-247-5179,Spanish,,
3811,1,Itzkovich,Feodora,F,Feodora Itzkovich,160-115-9924,French,,
767,3,Angrove,Pauli,F,Pauli Angrove,577-543-3729,Spanish,ELD 1,
5323,5,Marzelli,Torry,M,Torry Marzelli,619-913-5568,Spanish,,
0166,0,Brightwell,Meggy,F,Meggy Brightwell,734-268-6142,Mandarin,,
00,1,Strainge,Gordon,M,Gordon Strainge,812-241-8324,French,,
68182,3,Eckford,Roberto,M,Roberto Eckford,607-905-4402,Italian,,
4,3,Manthorpe,Wilfrid,M,Wilfrid Manthorpe,897-192-7726,Spanish,ELD 1,
274,1,Abbots,Andrea,M,Andrea Abbots,670-510-0480,French,,
19943,3,Koenen,Web,M,Web Koenen,146-935-5908,Mandarin,,
3,5,Genever,Almeria,F,Almeria Genever,764-718-0757,French,ELD 1,
25,0,Gooda,Dore,M,Dore Gooda,304-363-4872,Spanish,ELD 1,
381,1,Engledow,Dickie,M,Dickie Engledow,387-999-6578,French,,
359,0,Matskevich,Lauren,M,Lauren Matskevich,705-594-5963,Spanish,ELD 1,
2,1,Gladhill,Eugenia,F,Eugenia Gladhill,929-553-5604,French,,
42,1,Keohane,Elva,F,Elva Keohane,403-259-3385,Spanish,,
8,0,Tenman,Cristobal,M,Cristobal Tenman,198-347-4800,Spanish,,
790,5,Kirby,Jule,M,Jule Kirby,589-553-7973,Spanish,ELD 1,
58,0,Withringten,Tanitansy,F,Tanitansy Withringten,372-449-6747,Spanish,ELD 1,
051,5,Drysdale,Valeda,F,Valeda Drysdale,400-633-7269,Spanish,,
8,5,Jankin,Tommy,F,Tommy Jankin,463-513-6723,Spanish,ELD 1,
640,5,de Werk,Farica,F,Farica de Werk,579-353-4999,Spanish,,
6,1,Di Nisco,Omero,M,Omero Di Nisco,256-325-7881,Mandarin,,
3830,0,Naughton,Sherman,M,Sherman Naughton,836-148-2831,Spanish,,
71,5,Archdeckne,Ly,M,Ly Archdeckne,815-602-4971,Mandarin,,
42,3,Foresight,Tracie,F,Tracie Foresight,415-872-2917,Spanish,,
2204,5,Aleshintsev,Dianne,F,Dianne Aleshintsev,580-419-7581,Mandarin,,
7,0,Knock,Jocelyn,F,Jocelyn Knock,943-789-8510,Italian,ELD 1,
85772,5,Caines,Beckie,F,Beckie Caines,272-832-2423,Italian,,
3677,3,Villa,Quintus,M,Quintus Villa,199-257-2801,Spanish,ELD 1,
836,3,Creavin,Deeyn,F,Deeyn Creavin,957-922-4271,Spanish,,
70782,1,Oliphard,Gregory,M,Gregory Oliphard,772-790-5941,Spanish,,
7,1,Hurton,Bevan,M,Bevan Hurton,902-551-6516,Spanish,,
65,0,Asche,Else,F,Else Asche,165-544-1016,Spanish,,
0821,5,Dunstone,Shannan,M,Shannan Dunstone,653-311-4322,French,,
70,0,Moan,Lucius,M,Lucius Moan,885-205-7981,Italian,,
68,3,Fishe,Regine,F,Regine Fishe,268-208-1109,French,ELD 1,
59089,3,Affron,Farica,F,Farica Affron,457-880-8998,Spanish,,
50,3,Divver,Jodie,M,Jodie Divver,376-444-7503,Spanish,,
88760,1,MacCafferky,Gordie,M,Gordie MacCafferky,703-859-9802,French,,
23,1,Farnhill,Flora,F,Flora Farnhill,836-141-7984,Spanish,,
6082,0,Berringer,Vonni,F,Vonni Berringer,164-362-3248,Mandarin,,
65,1,Gardiner,Jori,F,Jori Gardiner,401-249-2536,Mandarin,,
04,1,Davidov,Filippa,F,Filippa Davidov,771-951-3219,Mandarin,,
6608,0,Drust,Tye,M,Tye Drust,802-434-5355,French,,
897,0,Wilton,Sancho,M,Sancho Wilton,382-646-8719,Spanish,,
26317,1,Damiata,Penni,F,Penni Damiata,281-211-3136,French,ELD 1,
6299,1,Late,Suzie,F,Suzie Late,353-140-0320,French,,
1974,0,Pendlenton,Cris,M,Cris Pendlenton,381-142-9520,Spanish,,
235,3,Zuan,Georas,M,Georas Zuan,900-843-5808,Italian,,
575,0,Vannini,Johannes,M,Johannes Vannini,264-621-1609,Italian,,
927,3,Mucillo,Angil,F,Angil Mucillo,817-439-8277,Spanish,,
7307,0,Jacqueminot,Lark,F,Lark Jacqueminot,767-556-8199,Spanish,ELD 1,
1874,5,Eccleston,Krysta,F,Krysta Eccleston,773-446-9825,French,,
6,1,Dealey,Cesare,M,Cesare Dealey,454-282-2206,Spanish,,
