Student ID,Last Schl,Last Name,First Name,Gender,Parent/guardian,Primary Phone,Description_HL,Group Memberships?,POD GROUP
2,5,Risbrough,Phylis,F,Phylis Risbrough,628-700-6432,Spanish,ELD 1,
0,3,Gilbey,Kira,F,Kira Gilbey,890-788-0498,French,ELD 1,
6,3,Kardos,Menard,M,Menard Kardos,100-969-4697,Mandarin,,
26,3,Dicey,Krysta,F,Krysta Dicey,942-876-7189,Spanish,,
25137,1,Berthel,Ugo,M,Ugo Berthel,750-354-9073,Spanish,,
4,0,Yousef,Arly,F,Arly Yousef,801-575-2626,Mandarin,,
24,0,Petrecz,Kynthia,F,Kynthia Petrecz,381-863-7334,Spanish,,
44,5,Curror,Sunny,M,Sunny Curror,898-986-6920,Italian,,
270,3,Gostling,Shea,M,Shea Gostling,523-869-7556,Spanish,,
66,0,Laurant,Donny,M,Donny Laurant,323-725-4908,Spanish,,
27544,1,Glennard,Alane,F,Alane Glennard,812-490-0761,Spanish,,
438,3,Elsom,Paulette,F,Paulette Elsom,554-301-5838,Spanish,,
73324,5,Cartmill,Brear,F,Brear Cartmill,668-460-4691,Spanish,,
41,5,Cossington,Indira,F,Indira Cossington,721-453-2321,Mandarin,,
21620,3,Chalker,Mickie,M,Mickie Chalker,194-352-7388,Spanish,,
63,1,Camamile,Darrin,M,Darrin Camamile,593-998-8255,Mandarin,ELD 1,
1,3,Souter,Andrey,M,Andrey Souter,774-678-7785,Spanish,,
3727,0,Teare,Engelbert,M,Engelbert Teare,389-579-9092,Spanish,,
61,1,Brabham,Joeann,F,Joeann Brabham,538-139-8471,French,,
2474,1,Cribbin,Bruce,M,Bruce Cribbin,927-186-0353,Spanish,,
7552,1,Syder,Mavis,F,Mavis Syder,575-228-7677,French,,
66,5,Edyson,Christian,F,Christian Edyson,711-498-0927,Mandarin,,
60354,0,McBrearty,Querida,F,Querida McBrearty,692-408-2362,Mandarin,,
24,1,Crevy,Gray,F,Gray Crevy,703-764-6643,French,,
64033,1,Applegate,Nelly,F,Nelly Applegate,594-473-4774,French,,
9,5,Lovelace,Inez,F,Inez Lovelace,711-145-2544,Mandarin,,
84,1,Peracco,Rakel,F,Rakel Peracco,389-415-8075,French,,
113,3,Dobrowolski,Johnnie,M,Johnnie Dobrowolski,516-766-1481,Spanish,ELD 1,
