Student ID,Last Schl,Last Name,First Name,Gender,Parent/guardian,Primary Phone,Description_HL,Group Memberships?,POD GROUP
374288036586187,0,Rapp,Randa,F,Randa Rapp,840-233-1642,English,,
56022338191661636,5,Abdey,Gonzalo,M,Gonzalo Abdey,354-807-8861,English,,
3564167213429953,3,Patroni,Jeane,F,Jeane Patroni,424-470-5483,English,,
3536533090896330,0,Magauran,Kassia,F,Kassia Magauran,257-952-7657,English,,
3575569370106489,1,Lampet,Randy,F,Randy Lampet,632-489-0691,English,,
337941499915865,3,Margetson,Zara,F,Zara Margetson,697-202-2081,English,,
3580161733266144,0,Patis,Gwyneth,F,Gwyneth Patis,423-339-3136,English,,
6759172875757295094,0,Vyvyan,Delores,F,Delores Vyvyan,429-875-2887,English,,
670990375767163825,5,Engeham,Maurizia,F,Maurizia Engeham,164-659-8192,English,,
3545469370586078,5,Standage,Kimball,M,Kimball Standage,881-496-1073,English,,
633327393722426155,0,Buffy,Wye,M,Wye Buffy,802-234-9197,English,,
3575648584174358,5,Navein,Dorolisa,F,Dorolisa Navein,214-361-1407,English,,
5602256705072923,1,Flintoffe,Zaccaria,M,Zaccaria Flintoffe,998-634-7082,English,,
5100131257777673,0,Doumerc,Blondy,F,Blondy Doumerc,861-414-4166,English,,
3572755597948588,3,Tight,Jens,M,Jens Tight,500-695-3238,English,,
6767543252167738,0,Gresswell,Norrie,M,Norrie Gresswell,927-369-9222,English,,
5255156017923344,3,O'Dunneen,Cullin,M,Cullin O'Dunneen,341-864-8779,English,,
5551012316455820,5,Derle,Kingsly,M,Kingsly Derle,790-234-0003,English,,
3585600137565879,3,De Ortega,Robbie,F,Robbie De Ortega,236-684-3522,English,,
5641827375960103110,3,Coare,Jan,F,Jan Coare,306-380-4725,English,,
4175005276531704,3,McClay,Julina,F,Julina McClay,952-796-1373,English,,
3562884584338702,0,Bloomfield,Berthe,F,Berthe Bloomfield,110-925-2034,English,,
201441229994051,5,Plunkett,Lucinda,F,Lucinda Plunkett,480-692-9004,English,,
3533831465058426,0,Bartelli,Renaldo,M,Renaldo Bartelli,733-746-7192,English,,
6376311619157237,1,Dennis,Forster,M,Forster Dennis,382-350-9897,English,,
5108751974045047,3,Teague,Hewet,M,Hewet Teague,323-780-6993,English,,
3539250685048147,3,MacAlpin,Mendie,M,Mendie MacAlpin,456-793-0999,English,,
5460051258288609,0,Nealey,Carree,F,Carree Nealey,571-104-3595,English,,
5610081183959304,1,Henriques,Bronny,M,Bronny Henriques,723-600-1455,English,,
4041591835756,0,Knock,Reamonn,M,Reamonn Knock,414-721-8493,English,,
3544534006598465,5,Scurman,Jeremie,M,Jeremie Scurman,541-766-1081,English,,
5602257877544988,5,Caesmans,Maire,F,Maire Caesmans,588-650-1355,English,,
3560752116418528,5,Ruffle,Matty,M,Matty Ruffle,551-211-2777,English,,
3578261043801871,0,Crookston,Katrinka,F,Katrinka Crookston,659-750-8712,English,,
5491627294993253,1,Petow,Alvis,M,Alvis Petow,229-606-7915,English,,
5100177403395159,3,Allner,Agnese,F,Agnese Allner,416-559-1708,English,,
5492197543182958,3,Whiskin,Kristian,M,Kristian Whiskin,103-263-7898,English,,
3546105430487050,1,Sharples,Bearnard,M,Bearnard Sharples,318-828-9746,English,,
30585023478625,3,Alentyev,Matt,M,Matt Alentyev,500-824-4881,English,,
201697276133089,1,Monard,Sherwin,M,Sherwin Monard,366-277-1482,English,,
4405650872408112,0,Achrameev,Bruce,M,Bruce Achrameev,801-338-1420,English,,
5486280196096747,5,Morston,Ryley,M,Ryley Morston,920-621-8038,English,,
5100148649553133,0,Mattack,Claudianus,M,Claudianus Mattack,890-514-8366,English,,
493674289130666903,5,Browning,Lisa,F,Lisa Browning,103-395-9137,English,,
5108753144019324,0,Iacopetti,Susanetta,F,Susanetta Iacopetti,219-667-4502,English,,
3534839817976509,1,Leftbridge,Darb,M,Darb Leftbridge,761-475-2677,English,,
5038085721213646551,3,Frayn,Blisse,F,Blisse Frayn,843-264-2632,English,,
3575441073279734,1,Alwell,Ashly,F,Ashly Alwell,251-377-9509,English,,
3533719426490665,0,Fermin,Thoma,M,Thoma Fermin,557-737-6648,English,,
630475683400659887,1,Giaomozzo,Tiffanie,F,Tiffanie Giaomozzo,896-438-5009,English,,
3546981639131545,0,Stoate,Hurlee,M,Hurlee Stoate,448-479-8137,English,,
5018852404598420,3,Moquin,Otto,M,Otto Moquin,203-409-4987,English,,
3554364569421591,3,Le febre,Berkly,M,Berkly Le febre,755-864-5206,English,,
3550318367576208,1,Borghese,Ronnie,M,Ronnie Borghese,346-587-3307,English,,
6767892978143071,1,Russo,Delphine,F,Delphine Russo,445-447-4679,English,,
3545307713677370,1,Escritt,Hettie,F,Hettie Escritt,626-438-0606,English,,
3579159021608558,3,Sill,Milka,F,Milka Sill,620-888-8119,English,,
5100130344547891,3,Treleaven,Garnette,F,Garnette Treleaven,672-665-0148,English,,
3572319836344248,3,Cheshir,Dianne,F,Dianne Cheshir,275-234-3926,English,,
5100170667643695,0,Church,Cirstoforo,M,Cirstoforo Church,483-525-3964,English,,
502018976078375462,3,Brindle,Rosanna,F,Rosanna Brindle,951-579-2954,English,,
5100132767848541,0,Rubinsaft,Britt,M,Britt Rubinsaft,303-472-6456,English,,
3562176933334825,1,Leverett,Wittie,M,Wittie Leverett,357-401-1673,English,,
5641828745513444030,1,Beevor,Markus,M,Markus Beevor,975-892-8891,English,,
5100137235390125,0,Gorey,Walden,M,Walden Gorey,546-706-0776,English,,
3548679601323995,0,Fanton,Christos,M,Christos Fanton,389-910-7147,English,,
36810390920411,5,Magnar,Kylie,M,Kylie Magnar,577-881-9628,English,,
343709034278244,5,Janata,Dani,M,Dani Janata,828-981-5265,English,,
5428978480538008,5,Arniz,Ben,M,Ben Arniz,511-907-2607,English,,
4903865034026318703,5,Nurden,Catina,F,Catina Nurden,159-751-8215,English,,
490538419312964212,0,Olenichev,Reggie,M,Reggie Olenichev,831-595-4623,English,,
3541937148735031,0,Gebbie,Tasha,F,Tasha Gebbie,132-175-4491,English,,
3551086289784502,1,Pren,Padgett,M,Padgett Pren,277-317-9812,English,,
3555317997401725,0,Bucknill,Virgil,M,Virgil Bucknill,253-329-3158,English,,
3567696089140325,1,Antonijevic,Jarrod,M,Jarrod Antonijevic,818-103-8627,English,,
67061957244606154,5,Jedraszek,Lyndy,F,Lyndy Jedraszek,748-717-9101,English,,
4936766007658802053,5,Bennison,Toddy,M,Toddy Bennison,847-575-0963,English,,
4405459070944138,1,Gillice,Wanda,F,Wanda Gillice,984-943-9150,English,,
3563510103587011,1,Hue,Osbourn,M,Osbourn Hue,139-271-5630,English,,
3566412898054124,3,Sartain,Hewitt,M,Hewitt Sartain,893-188-2496,English,,
4405116459421720,3,Stammler,Filip,M,Filip Stammler,557-227-3407,English,,
374288359781084,0,Sturrock,Tito,M,Tito Sturrock,901-469-8545,English,,
3545705683953913,5,Piggen,Korie,F,Korie Piggen,892-874-5579,English,,
3555430035593054,3,Godbald,Filberto,M,Filberto Godbald,676-674-0099,English,,
377074151039955,5,Dodell,Carney,M,Carney Dodell,722-294-1942,English,,
373790577703460,0,Lillo,Almeda,F,Almeda Lillo,744-562-8314,English,,
5602254220230805207,3,Angrock,Dev,M,Dev Angrock,952-192-7623,English,,
3554694223681002,3,Rampley,Jacob,M,Jacob Rampley,954-386-7534,English,,
5108758476639540,5,McGifford,Corrine,F,Corrine McGifford,960-749-2088,English,,
5602218632287123,1,Girton,Persis,F,Persis Girton,734-511-2913,English,,
3570294225825754,5,Dannehl,Maia,F,Maia Dannehl,708-856-6187,English,,
5488896465305911,0,Cokayne,Lief,M,Lief Cokayne,321-691-0480,English,,
633110216482276158,5,Guirardin,Gus,F,Gus Guirardin,521-381-9004,English,,
5471872163862700,3,Penticoot,Susannah,F,Susannah Penticoot,443-146-3699,English,,
3569594910770196,0,Calderon,Marion,M,Marion Calderon,887-269-9843,English,,
4844729648964514,1,Quarton,Henry,M,Henry Quarton,714-436-0862,English,,
5893912788422867093,1,Wakeman,Aldin,M,Aldin Wakeman,461-245-3706,English,,
5048378617693521,3,Origan,Hayes,M,Hayes Origan,664-132-9575,English,,
3584158626845857,3,Iddins,Rici,F,Rici Iddins,144-401-5958,English,,
3546317188992971,5,Elecum,Cal,F,Cal Elecum,306-275-0394,English,,
5100173805023259,5,Priddy,Derwin,M,Derwin Priddy,334-912-1267,English,,
3556365824436629,5,Parren,Hagen,M,Hagen Parren,263-337-7637,English,,
3543677406005861,5,Ingrem,Bertrando,M,Bertrando Ingrem,568-757-6954,English,,
5007664831458364,5,Libbe,Dar,M,Dar Libbe,577-588-9709,English,,
4558802563135182,1,Bickle,Ferrell,M,Ferrell Bickle,221-864-4601,English,,
5020763692400748,0,Healeas,Cos,M,Cos Healeas,823-488-9878,English,,
3535951246588869,3,McCool,Kevina,F,Kevina McCool,161-548-3214,English,,
374622232868058,5,Bucher,Douglas,M,Douglas Bucher,744-383-7995,English,,
201737402601466,5,Ibbetson,Rafi,M,Rafi Ibbetson,984-478-8907,English,,
