Student ID,Last Schl,Last Name,First Name,Gender,Parent/guardian,Primary Phone,Description_HL,Group Memberships?,POD GROUP
0,5,Dunstone,Karilynn,F,Karilynn Dunstone,114-462-8391,French,,0
317,5,Banbrick,Huberto,M,Huberto Banbrick,729-159-2838,Japanese,,0
599,3,Ellingsworth,Manon,F,Manon Ellingsworth,452-222-1206,French,,0
3,0,Jeggo,Dallas,F,Dallas Jeggo,400-413-9075,Japanese,,0
2809,1,Guess,Gottfried,M,Gottfried Guess,136-606-7163,Spanish,,0
08230,1,Origin,Salvidor,M,Salvidor Origin,651-628-9889,Mandarin,,0
721,5,Sawley,Cord,M,Cord Sawley,641-811-0332,Japanese,,0
536,5,Obbard,Gabriela,F,Gabriela Obbard,965-370-2841,Spanish,,0
32,1,McQuilliam,Abdul,M,Abdul McQuilliam,398-968-4114,English,,0
52462,0,Cokely,Umeko,F,Umeko Cokely,743-218-3897,Italian,,0
7405,5,Lukasen,Maurise,F,Maurise Lukasen,488-948-3704,Japanese,,0
59,0,Jonk,Olly,F,Olly Jonk,595-347-5965,Japanese,,0
92947,0,Geroldi,Pablo,M,Pablo Geroldi,799-379-5073,Japanese,,0
195,1,Scanlin,Ezechiel,M,Ezechiel Scanlin,145-334-5778,Spanish,,0
6092,3,McVicar,Melba,F,Melba McVicar,745-851-1461,Japanese,,0
427,3,Bulger,Howey,M,Howey Bulger,506-375-5555,Spanish,,0
8883,1,Anthony,Jodee,F,Jodee Anthony,975-865-5584,Mandarin,,0
3109,0,Kilbee,Sherwood,M,Sherwood Kilbee,480-320-9105,Mandarin,,0
300,0,Bristoe,Riannon,F,Riannon Bristoe,995-838-2825,Italian,,0
53172,1,Hariot,Yance,M,Yance Hariot,608-520-6021,Mandarin,,0
96,1,Levet,Neville,M,Neville Levet,566-471-1838,Spanish,,0
46457,5,Marre,Nancee,F,Nancee Marre,318-636-2567,English,,0
1535,1,Huleatt,Ann,F,Ann Huleatt,167-932-1510,Italian,,0
81897,1,Galletly,Jefferey,M,Jefferey Galletly,851-931-7946,Spanish,,0
68,5,McMyler,Hastie,M,Hastie McMyler,495-483-0672,English,,0
